model,accuracy,precision,recall,f1,auc
logistic_regression,0.9444444444444444,0.9448561523396166,0.9444444444444444,0.9444213827775472,0.9791727373749859
random_forest,0.9411111111111111,0.9412746274034236,0.9411111111111111,0.9410986734691495,0.9816174836399564
gbt,0.9322222222222222,0.9322672375933245,0.9322222222222223,0.9322159447583178,0.9666650203728857
